smiles,active
ONC(=O)C=Cc1ccc2c(c1)CN(C2)C(=O)C1CCCC1,4.522878745
CO[C@H]1CN(CCn2c3cc(OC)cnc3ccc2=O)CC[C@H]1NCc1ccc2OCC(=O)Nc2n1,4
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccnn3C)sc12,4
CO[C@]12CC[C@]3(C[C@@H]1[C@@](C(C)(C)C)(O)C)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)CC1CC1)ccc2O,5.124938737
Fc1cnc2c3c1C(O)(Cn3c(=O)cc2)CC12CCC(CC1)(CO2)N/C=C/c1ccccc1,7.193820026
CC1(c2nc(-c3ccccc3)c[nH]2)Cc2c([nH]c3ccccc23)C(C2CCOCC2)N1,5.530767257
CN1CCN(CC1)c1ccc2ncn(-c3cc(ccc3C)C(=O)NC3CC3)c(=O)c2c1,4
CCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,5.022276395
C[C@@H]1NC(=N[C@@]1(c1ccc(F)cc1)c1ccc(F)nc1)c1cccc(c1)C#N,5.366531544
O=C1NC[C@@H](c2ccccc2)C11CCN(CC1)[C@@H]1CCCC[C@@H]1c1ccccc1,5.853871964
CNC(=O)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,5.585026652
CC(C)(C)NC(=O)C1N(Cc2ccc(F)cc2-c2ccccc2)C(=O)c2ccccc12,4.488116639
Clc1nccc(c1)C(N1C2CCC1CC(C2)Oc1cccc(c1)C(=O)N)C,5.721246399
CN(CCc1sc2c(c1C(c1cccnc1F)C)cccc2)C,5.638272164
Cc1ncc(OC[C@]2(C[C@H]2C(=O)Nc2ccc(F)cn2)c2cccc(F)c2)c(C)n1,5.214670165
Cc1cc2OCC(=O)Nc2nc1CNC12CCC(C[C@]3(O)Cn4c5c3c(F)cnc5ccc4=O)(CC1)OC2,4.22184875
COc1ccc2c(c1)n(C[C@@H](C1CCC(CC1)NCc1ncc3c(n1)NC(=O)CO3)N)c(=O)cn2,3.477555766
C[C@]12CCC3C(CCC4=CC(=O)CC[C@H]34)C1CC[C@@]2(O)C#C,5.050000457
Cc1ccc(cc1)CC(=O)N1CCC(CC1)CCNc1ncccn1,5.508638306
Cc1c(ccc(F)c1C#N)[C@H]1CN2CCN(C[C@H]2CO1)C(=O)Cc1cnc(nc1)-n1cnnn1,4.598599459
CCCCCCCN(CC)CC#CCCc1ccc(Cl)cc1,7.27572413
COc1cc(N2CC(C2)N(C)C)c(NC(=O)C=C)cc1Nc1ncc(Cl)c(n1)-c1cnn2ccccc12,5.397940009
CN([C@@H]1CCN(C1)C1CCC1)C(=O)c1ccc(Cn2c(C)nc3ccccc23)cc1,4.522878745
Cc1c(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(C(C)(C)C)n1C.Cl,5.161150909
O=C1COc2c(N1)cc(cc2)CNC12CCC(CC1)(OC2)CC1(O)Cn2c3c1c(F)cnc3ccc2=O,5.13667714
C[C@@H]1NC(=N[C@@]1(c1ccc(F)cc1)c1ccc(F)nc1)c1nccs1,5
C[C@H]1CCCN(CCCOc2ccc(cc2)-n2c(C)nc3ccccc3c2=O)C1,5.27572413
CN1CCN(CCN2CCN(C2=O)c2cccc(Cl)c2)CC1,5.400116928
CCC(CC)CNc1c(C(N)=O)cnc2ccc(-c3ccnnc3)cc12,5.795880017
C[C@H]1CNC[C@H](C)N1c1nc2c(cccc2o1)C(=O)NC1C[C@H]2CCC[C@H](C1)N2C,5.193820026
CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,5.958607315
CC1=C(c2cccc(O)c2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,5.337242168
COc1ccc2c(c1)C(=O)OC12CCC(CC1)C(=O)N(CCN1CCCCC1)C,5
O(C[C@H](O)C[NH2+]C(C)C)c1ccc(cc1)CC(=O)N,3
NC(=O)c1cnc2cc(F)c(-c3cccnc3)cc2c1NC1CCOCC1,5.698970004
Cc1ccc(cn1)c1nnc(n1C)SCCCN1C[C@@H]2[C@](C1)(C2)c1ccc(cc1)C(F)(F)F,6.102372909
NC1=NCC2N1c1ccccc1Cc1ccccc21,4.012929735
CCOC[C@H]1CC[C@H](CC1)N1CC(C1)NC(=O)CNc1nn(C)c2ccc(cc12)C(F)(F)F,5.251811973
Cc1ncc(CN[C@@H]2CCN(CCn3c4cc(ccc4ccc3=O)C#N)C[C@@H]2F)cc1C#N,4
Cc1ccc2oc(-c3c4c(N)n[nH]c(=O)c4nn3-c3ccccc3)c(C)c2c1,4.709297757
O=C1NCN(C1)C(=O)c1ccc(cn1)C1(CCCO1)c1ccc(cc1)OCc1ccccn1,4.494850022
O=C(N1CCOCC1)N1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc([N+](=O)[O-])c4)c3c2)CC1,6.408935393
CCOCCn1nc(C)c2nc(NC3CCNCC3)nc(Nc3cc(C)ccn3)c12,5.552841969
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1nccnc1C,5.107905397
Cc1ccc2nc(C)n(-c3ccc(OCCCN4CCCC4)cc3)c(=O)c2c1,5
Fc1cccc(c1)S(=O)(=O)c1ccc2c3CCNC4(CCCOC4)c3oc2c1,4.930579825
Fc1ccc(cc1)[C@@H](NC(=O)c1ccc(cc1)[S@+](C)[O-])CCN1[C@@H]2CC[C@@H]1C[C@@H](C2)n1c(C)nc2c1cc(F)cc2,5.096910013
Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccccc3)C2)n1C,5.540004744
NCC1(c2cccc(-c3ccnc4[nH]nc(C(F)(F)F)c34)c2)CCC1,5.522878745
Cc1cccc(c1)C(=O)Nc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,4.522878745
Cn1ncc(C(=O)N2CCC(CC2)Nc2cc(=O)[nH]c3ccccc23)c1Cl,4
CN(CCN1CCN(C1=O)c1ccc(C)cc1)C[C@@]12CC[C@@H](CC1)C2(C)C,5.602059991
COc1ccc(C[C@H](N2CCC(CN3CCC(CC3)Oc3ccc(Cl)c(Cl)c3)CC2)C(O)=O)cc1,5
Oc1cc(-c2cn[nH]c2)ccc1-c1ccc(N2CCC3(CCCNC3)C2)nn1,6.568636236
Fc1cc2[nH]c(-c3cc4c(cc3)cccc4)c(c2cc1)[C@@H]1C[NH2+]CC[C@@H]1F,6.301029996
COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccsc12,4.920818754
Clc1cccc(c1)N1CCN(CCN2CCCc3sccc3C2)C1=O,6.102372909
O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)nc4)CC3)ccc21,5.346787486
Nc1cnc(cn1)COc1ccc(cc1)C1(CCCO1)c1ccc(nc1)c1nnco1,4.494850022
Fc1cnc2c3c1C(O)(Cn3c(=O)cc2)CC12CCC(CC1)(CO2)NCc1nnc2c(c1)OCCO2,4.22184875
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cnccn1,6.590066877
C[C@@H]1NC(=N[C@@]1(c1ccc(F)cc1)c1ccc(F)nc1)c1cc(Cl)ccn1,5.107905397
COc1cnc2ccc(=O)n(CCN3CCC(CC3)c3c[nH]c4ccc(cc34)C#N)c2c1,5.698970004
CO[C@@H]1CN(Cc2ccc(cc2)C(F)(F)F)CC[C@@H]1N(C)C(=O)Cc1ccc(cc1)-n1cnnn1,5.698970004
CCOC(=O)C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1Cl,5.393618635
CCC(C(c1ccccc1)(c1ccccc1)CC(N(C)C)C)O,4.920818754
CN(C)CCn1ncc2cc(ccc12)-n1ccc(OCc2ccccc2)cc1=O,5.744727495
CCC(CC)CNc1c(C(N)=O)cnc2c(C)cc(-c3cccnc3)cc12,6.443697499
CN(C)Cc1ccccc1Oc1ccc(Cl)c(Cl)c1,5.677780705
O=C1[C@@H]2CCN1Cc1cccc(Oc3cc(Cn4cncc4CN2)ccc3C#N)c1,4.958607315
COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccccc2OC)CC1,5.721246399
Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(C#N)cn2)C3)ccc2c1COC2=O,5.619788758
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,5.148741651
O=C(NC1CN(C1)C1CCC(CC1)c1ccccn1)CNc1ncnc2c1cc(cc2)C(F)(F)F,5.124938737
N#Cc1c(N)ncnc1N1CCC[C@H]1c1nc2cccc(C#CCCCC(=O)N3CCOCC3)c2c(=O)n1-c1ccccc1,4.498940738
CC(=O)Nc1ccc(cn1)-c1cc2sc(nc2cn1)N1CCC(CC1)N1CCCCC1,5.070581074
CN([C@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@H]1F)C(=O)Cc1ccc(cc1)-n1cnnn1,5.443697499
CCN[C@H]1CCC[C@H](C1)c1c[nH]c2ccc(cc12)N=C(N)c1cccs1,4.787812396
FC(F)Oc1cccc(F)c1CC(N1CCNCC1)c1ccccc1,4.982966661
Cc1cc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)ccn1,4.522878745
C[C@@H]1O[C@@H](C)CN(C1)c1nc2nc(ccc2c(n1)N1CCOC[C@H]1C)c1ccccc1,5.397940009
COc1cc(ccc1-n1cnc(C)c1)-c1cn(nn1)C1CC(CNC1=O)C(F)(F)F,4.522878745
NC(=O)[C@@H]1CSC[C@H](c2ccc(OCc3cccc(F)c3)cc2)N1,4.599999383
CC1(c2cccc(-c3cccnc3)c2)N=C(N)c2ccccc2O1,5.552841969
CCCC1(CC)Oc2c(O1)c(ccc2)CN1CCC2(CC1)CCN(CC2)C(=O)c1ccc(cn1)N,5.459670525
CCCCC(NC(=O)CC1CCN(Cc2ccn(c2)-c2ccc(cc2)C(F)(F)F)CC1)c1ccc(=O)[nH]c1,4.500312917
O=C(NCCCNc1nc2ccccc2[nH]1)c1ccc(CN2CCCC2)cc1,4.300162274
[NH3+][C@H]1CN(CC[C@@H]1c1cc(F)c(F)cc1F)c1ccn2cnnc2n1,4
CC(C)(N)C(=O)N1CCn2c(C1)nc(c2Nc1ccc(Cl)c(F)c1)-c1ccc(F)cc1,5.251811973
Cn1c(N2CCC(C)(CN)CC2)nc(N)c(Sc2cccc(Cl)c2Cl)c1=O,5.22184875
Cc1ncoc1-c1nnc(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)n1C,6.721246399
C[C@@H]1CCCN1CCc1ccc2nc(ccc2c1)-c1csc(n1)-c1csc(C)n1,4.906578315
CC(C)OC(=O)N1CCC(CC1)Oc1ncnc2n(ncc12)-c1ccc(cc1F)S(C)(=O)=O,5.522878745
CCCCCCn1c(NC2CCN(CCc3ccc(OC)cc3)CC2)nc2ccccc21,7.522878745
NCC(Cn1c2cc3CCCCc3cc2c2c(c1=O)c(C)[nH]n2)F,4.879426069
O=[N+]([O-])c1cccc(CNc2cc(C(F)(F)F)cc3ncc(N4CCN(CCO)CC4)cc23)c1,7.431798276
COc1ccc(cc1)c1nnc(n1C)CCCCN1CC2[C@@](C1)(C2)c1ccc(cc1)C(F)(F)F,6.494850022
C[C@@H]1Cn2ncc(c2CN1c1ccnc2[nH]ccc12)-c1ccc(cc1)S(C)(=O)=O,5.823908741
CN(C)Cc1ccc(-n2cc(-c3ccc4cc[nH]c4c3)c3c(Cl)ccnc32)cc1,5.769551079
C[C@@]1(c2cc(CNC3(C(F)(F)F)COC3)c(F)cc2F)CCSC(N)=N1,4.782516056
CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,3.269999997
CC1(C)Oc2ccc(NC(=O)c3ccc(Br)cn3)cc2[C@@]2(COC(N)=N2)C11COC1,5
Cc1cc(F)ccc1C1CCN(CC2Cc3ccccc3CN2)CC1,6.698970004
CCN(CC)C(=O)C1CCCN(C1)C(=O)CC1CCN(Cc2ccn(c2)-c2ccc(cc2)C(F)(F)F)CC1,4.795880017
CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(C(C)C)C(C)C)cccc2,5.886056648
CNS(=O)(=O)Cc1ccc2c(c1)c(CCN(C)C)c[nH]2,4.522878745
COc1cccc(C(c2cc3cc(Br)ccc3nc2OC)C(O)(CCN(C)C)c2cc(C)cnc2C)c1OC,5.958607315
N#Cc1cc([C@H]2CC[C@@H](C(N)=O)N2)ccc1OCc1ccccc1F,4.800000875
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc1nccc(n1)-c1c[nH]c2ccccc12,4.756961951
CN1Cc2cc(ccc2C1=O)-c1ccc(C[C@H](NC(=O)[C@@H]2C[C@@H](O)CCN2)C#N)cc1,4.48148606
Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,4.55129368
Fc1ccc(c(c1)CCNC12CCC(CC1)(OC2)CC1(O)Cn2c3c1c(F)cnc3ccc2=O)F,7.494850022
CCN1CCN(CC1)c1cc2[nH]c(S[C@@]3(C)CC[C@@H](CC3)c3nnco3)nc2cc1Cl,5.468521083
C[C@@H]1CCCN1CCc1ccc2nc(ccc2c1)-c1cnn(c1C)-c1cc(cc(C)n1)C(F)(F)F,4.774690718
CCn1nc(N2CCC3(CCN(C[C@H](O)c4ccc5c(c4C)COC5=O)CC3)C2=O)ccc1=O,5.119186408
CCN1CCC(CC1)N(C(=O)NCc1ccc(F)cc1)c1ccc(Cl)cc1,5.177178355
COc1ccc(cc1)C(=O)C1CCN(CC1)CCCc1ccccc1,6.804100348
CC(=O)NC[C@@H]1OC(=O)N2[C@H]1COc1cc(ccc21)-c1ccc(nc1)C#N,5.555955204
CC(N1CCCC(C1)Cn1c(C)nc2c(c1=O)nc(cc2)Oc1ccc(c2c1nccc2)F)C,5.030118356
C[C@H]1N2C(COc3cc(c(NC4(C)CNC4)cc23)C(F)(F)F)=NNC1=O,4.522878745
C[C@@H](CO)Oc1cc(Oc2ccc(C(=O)N3CCC3)cc2)cc(C(=O)Nc2ccn(C)n2)c1,4.15490196
OC(=O)c1cc2sccc2[nH]1,5
N\C1=N/C(=O)[C@@H]2CCCN2c2ccc(OCCCCCCNCC(=O)Nc3c(Cl)cc(CN1)cc3Cl)cc2,4.494850022
N/C(CC(O)c1cc2c(F)cc(F)cc2c2cc(C(F)(F)F)ccc12)=N\N=C\c1ccc(F)cc1,7.173925197
NCc1c(C)nc2c(c1c1ccc(cc1Cl)Cl)CN(C2=O)CC(=O)N1CCOCC1,4.096910013
CC(N(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1.Cl,4.397940009
Fc1ccc(Oc2ccc(cn2)C(=O)N2CCCN(CC2)C2CCC2)cc1,5.455931956
CN1CCN(CCOc2cc(C)n(n2)-c2ccc(Cl)c(Cl)c2)CC1,5.13076828
CC1(C)CCc2cc(ccc2O1)S(=O)(=O)N(CC(O)=O)Cc1cccc(c1)-c1ccccc1,4.698970004
CN(C)CC(C)(C)Cn1nc(-c2ccc3nc(OC4CC4)ccc3c2)c2c(N)ncnc21,7.086186148
COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc3nc4NC(=O)COc4c(C)c3C)c2n1,5.59345982
COC(=O)CCCN1CCC(CN2CCC(CC2)Oc2ccc(CO)c(Cl)c2)CC1,1.689999999
COc1cnc(cn1)-c1cccc2OC[C@H](Cc12)NC(=O)c1ccc(OCC(F)(F)F)nc1,4.500312917
CCN(CC)Cc1ccc2C[C@H](CCc2c1)N1CCN(CCc2ccc(F)cc2)CC1=O,5.091514981
OC[C@@H]1OC(=O)N2[C@@H]1COc1c2ccc(c1)c1ccc(nc1)C(=O)[C@H](O)C,3.876148359
Clc1cc(C(=O)N[C@@H]2[C@H]3CCC[NH+](CC2)C3)c(OC)cc1N,5.698970004
CN(C)c1ccc(CNC(=O)[C@H]2CNC[C@@H]2c2ccc(C(F)(F)F)cc2)cc1,5.026410377
CCOc1cc2ncc(c(c2cc1N1CCN(CC1)C)Nc1ccc(c(c1)Cl)Cl)C(=O)N,5.366531544
COC1COCCC1N[C@@H]1C[C@H]2CN(C3CC3)C[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,4.375717904
COc1ccc2ncc(F)c(CC(NOC(C)=O)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,4.739928612
OC(=O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(CC2)Oc2ccc(Cl)c(Cl)c2)CC1,5.200659451
